,0,1,2,3,4,5,6,7,8
0,-1734429.0,-861062.0,-448469.0,-297437.0,-215673.0,-165098.0,-120800.0,-93196.0,-39597.0
1,-852912.0,-1434412.0,0.0,0.0,0.0,0.0,0.0,-69634.0,-66956.0
2,-419416.0,-1492065.0,-1308593.0,-1131652.0,-949424.0,-760885.0,0.0,-66938.0,-65999.0
3,-160196.0,-1327535.0,-1306757.0,-1185405.0,-1026131.0,-839136.0,0.0,-60043.0,-60750.0
4,-58095.0,-1145959.0,-1186182.0,-1125630.0,-995200.0,-799945.0,0.0,-50714.0,-51363.0
5,-22072.0,-972800.0,-1037109.0,-1001654.0,-891118.0,-654223.0,0.0,-40308.0,-38278.0
6,-11185.0,-783843.0,-850411.0,-806313.0,-663966.0,-479800.0,-18892.0,-27317.0,-21556.0
7,-4268.0,0.0,0.0,0.0,0.0,-8819.0,-12650.0,-10085.0,-2363.0
8,-2845.0,-3050.0,-3480.0,-3741.0,-4730.0,-7069.0,-7388.0,-1815.0,19796.0
